app_id	topics
co.infinitevpn.free.proxy
com.dyer.secvpn
com.playermusic.musicplayerapp	10178
com.turner.pocketmorties	10240
com.YummyGames.SamuraiFlash	10228
com.netmarble.kofg	10233,10228
impostor.evolution.merge	10230
com.ascal.pdfreader.pdfviewer	10166
com.ivy.galaxyshooting.sky	10228
np.com.njs.autophotos	10182
jp.co.goodroid.hyper.hospital	10230
madlipz.eigenuity.com	10183,10011
com.devexpert.weather	10318
com.fatsecret.android
com.lipisoft.quickvpn
com.wixot.wordsearch	10227,10257
com.plarium.blast	10240,10230
com.htc.sense.ime	10184
com.sec.android.app.voicenote	10165
com.dreamed.physicsdrop	10253
com.playcreek.DeathWorm_Free	10228
com.kumagames.highschoolsimulator2018	10240
com.protey.doors_challenge	10253,10229
saveit.whatsappstatussaver.whatsappsaver	10174
com.speech.text.translate	10365
com.MegaJoy.MrBen	10253,10229
jp.co.translimit.brainwars	10253
com.gathercultivatecountry.attack	10230
com.xe.currency	10358,10208
com.rsdp.snapapp	10174,10053
com.notdoppler.crashofcars	10232
com.huanliao.tiya	10332,10281
com.playgendary.pinatamasters	10228
com.hutchgames.hillclimb	10232
net.megawave.flashalerts	10184
com.crossfield.namsterlife	10009,10240
com.progrestar.bft	10247
